,RNCMPT00001,RNCMPT00291,RNCMPT00123,RNCMPT00265,RNCMPT00287,RNCMPT00002,RNCMPT00270,RNCMPT00114,RNCMPT00003,RNCMPT00180,RNCMPT00284,RNCMPT00134,RNCMPT00122,RNCMPT00004,RNCMPT00166,RNCMPT00187,RNCMPT00129,RNCMPT00006,RNCMPT00131,RNCMPT00147,RNCMPT00007,RNCMPT00009,RNCMPT00010,RNCMPT00146,RNCMPT00144,RNCMPT00008,RNCMPT00156,RNCMPT00012,RNCMPT00158,RNCMPT00133,RNCMPT00013,RNCMPT00121,RNCMPT00149,RNCMPT00150,RNCMPT00183,RNCMPT00014,RNCMPT00015,RNCMPT00016,RNCMPT00120,RNCMPT00017,RNCMPT00018,RNCMPT00161,RNCMPT00020,RNCMPT00021,RNCMPT00022,RNCMPT00023,RNCMPT00024,RNCMPT00245,RNCMPT00025,RNCMPT00167,RNCMPT00160,RNCMPT00026,RNCMPT00027,RNCMPT00091,RNCMPT00288,RNCMPT00289,RNCMPT00178,RNCMPT00118,RNCMPT00028,RNCMPT00093,RNCMPT00029,RNCMPT00095,RNCMPT00096,RNCMPT00094,RNCMPT00031,RNCMPT00112,RNCMPT00117,RNCMPT00136,RNCMPT00032,RNCMPT00274,RNCMPT00033,RNCMPT00172,RNCMPT00169,RNCMPT00062,RNCMPT00185,RNCMPT00034,RNCMPT00035,RNCMPT00097,RNCMPT00124,RNCMPT00212,RNCMPT00223,RNCMPT00254,RNCMPT00255,RNCMPT00234,RNCMPT00197,RNCMPT00037,RNCMPT00181,RNCMPT00140,RNCMPT00040,RNCMPT00100,RNCMPT00099,RNCMPT00041,RNCMPT00176,RNCMPT00137,RNCMPT00238,RNCMPT00209,RNCMPT00261,RNCMPT00278,RNCMPT00126,RNCMPT00262,RNCMPT00263,RNCMPT00139,RNCMPT00155,RNCMPT00153,RNCMPT00043,RNCMPT00171,RNCMPT00157,RNCMPT00011,RNCMPT00186,RNCMPT00239,RNCMPT00044,RNCMPT00246,RNCMPT00215,RNCMPT00199,RNCMPT00240,RNCMPT00200,RNCMPT00235,RNCMPT00202,RNCMPT00203,RNCMPT00206,RNCMPT00228,RNCMPT00229,RNCMPT00237,RNCMPT00045,RNCMPT00249,RNCMPT00268,RNCMPT00269,RNCMPT00141,RNCMPT00047,RNCMPT00142,RNCMPT00159,RNCMPT00168,RNCMPT00184,RNCMPT00285,RNCMPT00049,RNCMPT00050,RNCMPT00051,RNCMPT00283,RNCMPT00113,RNCMPT00052,RNCMPT00248,RNCMPT00053,RNCMPT00151,RNCMPT00282,RNCMPT00241,RNCMPT00054,RNCMPT00279,RNCMPT00280,RNCMPT00055,RNCMPT00154,RNCMPT00170,RNCMPT00056,RNCMPT00152,RNCMPT00173,RNCMPT00057,RNCMPT00058,RNCMPT00127,RNCMPT00132,RNCMPT00059,RNCMPT00138,RNCMPT00060,RNCMPT00205,RNCMPT00148,RNCMPT00061,RNCMPT00064,RNCMPT00065,RNCMPT00066,RNCMPT00224,RNCMPT00177,RNCMPT00174,RNCMPT00175,RNCMPT00068,RNCMPT00069,RNCMPT00232,RNCMPT00145,RNCMPT00070,RNCMPT00143,RNCMPT00071,RNCMPT00272,RNCMPT00106,RNCMPT00107,RNCMPT00108,RNCMPT00109,RNCMPT00110,RNCMPT00163,RNCMPT00088,RNCMPT00089,RNCMPT00090,RNCMPT00019,RNCMPT00072,RNCMPT00073,RNCMPT00074,RNCMPT00067,RNCMPT00179,RNCMPT00182,RNCMPT00119,RNCMPT00281,RNCMPT00076,RNCMPT00216,RNCMPT00217,RNCMPT00218,RNCMPT00219,RNCMPT00220,RNCMPT00230,RNCMPT00251,RNCMPT00252,RNCMPT00253,RNCMPT00165,RNCMPT00077,RNCMPT00256,RNCMPT00005,RNCMPT00225,RNCMPT00078,RNCMPT00075,RNCMPT00226,RNCMPT00236,RNCMPT00257,RNCMPT00258,RNCMPT00259,RNCMPT00079,RNCMPT00080,RNCMPT00081,RNCMPT00087,RNCMPT00164
k-mer(m=1),0.5081375454187061,0.5411879114689329,0.4764377510698893,0.09092741071682123,0.17626033072702976,-0.030674825523674197,0.08772067339749456,0.3228417944238563,0.3703719677473437,0.5938797604600846,0.4457774195450732,0.4165876501655248,0.4259969679008131,0.5327350707946636,0.561223578446436,0.3052874689729611,0.01317623110248167,-0.0963679391036284,0.12332910707895185,0.24220155508473257,-0.05195502338071309,0.017926724788318235,0.11213720878701498,0.576268909464428,0.15517454290198102,0.3309885713599998,0.35935310895866196,0.23578633490925588,0.38480361650230854,0.4713620540931356,0.3089574261101757,0.33876568893414477,0.04175284853175701,0.32374634484223164,0.46098279287143484,0.39104590503645664,0.20583846034456826,0.49791129226198827,0.36580762435673264,0.5301577531897119,-0.1070026930890211,0.36928340104491336,0.3676103549781221,0.3666811101961033,0.6369654224964763,0.5259692567057725,0.5992039782692291,0.4016629455684053,0.5029080118188035,0.5257371461402437,0.6138240685323118,0.44204099735475305,0.5278657634490955,0.21202405149442277,0.33959187641200084,0.300221434363765,0.3776367646924773,0.009873329310897296,0.4031379413378222,0.35695315870937083,0.49393776090491653,0.6475160451370188,0.4500590251556995,0.46485839629896114,0.10478580053690459,0.3245585140842152,0.3607757245738491,0.33996793174587214,0.4071224035118156,0.39611375031811996,0.45148104452011245,0.37195503854980905,0.4682424087265087,0.2388660261738596,0.358483807816714,0.4474853201409617,0.14698741235877227,0.35408514810906816,0.3034360683901444,0.2622940403006913,0.2761463400917074,0.2809418944122678,0.39752146787883447,0.39587166014388037,0.19200139038676706,0.3372581966215853,0.4656973070643593,0.0758231585034257,0.40512285775600226,0.3768988797027417,0.3983323872190378,0.3849419171139705,0.4306972914112671,0.2635736941790283,0.7363447829625469,0.6154593926889477,-0.04303892480819159,0.28258340120692405,0.1988220262911849,0.3815197396267059,0.34413585627627497,0.47366045022631353,0.2542280620786394,0.26417506745158187,0.5141950540172381,0.33049161844210384,0.19674851784524428,-0.03164619223710011,0.1899179738527692,0.31669155400914095,0.15590425285380533,0.4646516490321242,0.6127781087106569,0.5517804577017211,-0.07254815296274654,0.06827437694196586,0.1737714630596517,-0.09410338245542602,0.1989065045435086,0.35152811889206215,0.13687791765968566,-0.22621496402429958,0.015972277077719366,0.057177776928490034,0.5317373106229543,0.43949128912324475,0.43803342033039694,-0.3056009963787054,0.04880111639002369,0.16287377604121273,0.2736979362537767,0.59385976003437,0.5475631785708409,0.6212341807021381,0.04513284595250657,0.0411812487023195,0.15939751795800694,0.6337566389508196,0.22229420380933085,0.2932248924300173,0.30700041550811463,-0.071658174707992,0.25886489644128574,0.237824880139318,0.13984410876354403,0.4170090325438227,0.3722912004458844,0.2742904601681311,-0.09367534545153444,-0.05160751816722656,-0.03278733761811846,0.023900393121752905,0.3562494669535675,0.4350080839144319,0.4521474633828109,0.2742428789379412,0.1945717213468566,0.3762290730403707,-0.16997966079532473,0.3803496612924646,-0.007767795007398345,0.24740540408049022,0.06348226494260528,0.351999033770828,0.03838328834556123,0.059758918268092154,0.482653368679139,-0.03644570063214728,0.005364079299213328,0.3607435902244229,0.4769082017362613,0.4771904824424412,0.4041960954656185,-0.010267808869804967,0.4378948221152807,0.053621845607641605,0.09887260845321552,0.6178626087912832,0.40234780751120797,0.34968330742312026,0.3791808075422946,0.4350462157756718,0.405423087754812,0.3072199668093676,0.231258159720883,0.17754300597910416,0.16001145757115776,0.09808509213164157,0.11038828523164035,0.32131711395940704,0.2957630136501439,0.2743090900998842,0.40445963225329806,0.47869464690046026,0.19093540478292165,-0.0005471568711770869,0.43138011917563157,0.48080797625371957,0.22779185020858922,-0.23824298937745836,0.040634597674554226,-0.024287123026128385,0.03139072846637821,0.10329223228544156,-0.08373976084656051,0.06052654583958767,0.33428409873311826,0.4326436391788356,0.3968972435636879,0.5708157302595218,0.5092601112046355,0.06920670079636643,0.2246457993071003,-0.2951957182083651,-0.06460708435562568,-0.30928664900847347,0.011191733346896849,0.20095080569731366,-0.0326179740068058,0.4124554894468616,0.2657405550003245,0.32951476461520723,-0.00523453104670262,0.2601512577901957
k-mer,0.5174420768108209,0.5408608354101745,0.4765085456193133,0.414326275277475,0.16820599042300113,-0.0022869365675346615,0.1431775659780598,0.36668916168797727,0.40030943402803293,0.6200776509048411,0.4554233231575562,0.5469966025489228,0.42060066133905316,0.5431673228879463,0.5716342963921845,0.30002187012747017,-0.02729983629169464,-0.03174673152242126,0.10841379915489396,0.14785237553768646,0.016633488945590368,0.09544698544604292,0.12145729309525699,0.5646827834252888,0.18177548201923832,0.32419302388608173,0.41995420501817343,0.2235895683758617,0.45880996405668073,0.4725016571050565,0.3174266723167271,0.3255624967232515,0.04577958284324389,0.2036190118112285,0.5033904792492464,0.4118093237345273,0.21476961964061195,0.5279843204352704,0.3366403958240329,0.5562581839456284,-0.16260699532609585,0.36854370947544157,0.3781329473335089,0.22347606790941033,0.6443041593968859,0.5190404321420217,0.5975988136538399,0.5040218383249737,0.4987935173353464,0.5228583402095066,0.47163990316823423,0.4352333743192024,0.5165892156062688,0.18580266705712348,0.3172897145200045,0.4129692370418964,0.5292784673850044,0.016167147487711333,0.38960699358030854,0.33542621505891734,0.5124056815743462,0.6541350437628028,0.45941307183444946,0.4693222966881296,0.11833561312091503,0.3141087709327479,0.36998547612918736,0.33917734934468147,0.42580508573595005,0.43284143230978867,0.4362167284794463,0.38043613799934667,0.437390134916669,0.2605122790223246,0.3571834951041032,0.44113629680952404,0.11491844353051484,0.31727190276219863,0.2903210161075847,0.17305993053657306,0.0002193102744629423,0.23596694104737936,0.45704427444495016,0.3747603377010269,0.18267274431554842,0.37994470033951844,0.4625190111103086,0.07761176544077769,0.4192523464182424,0.3887159140529547,0.41161519070948377,0.4241146449244365,0.4763761463085713,0.22002936722483016,0.6698646814264808,0.5711789188920722,0.015447849650457191,0.2807318033875145,0.2833329920160819,0.4930148335338751,0.31465793758606847,0.45951481415431705,0.31829527314934564,0.2457452416334371,0.4924534806255949,0.25523681373242024,0.09538806543671191,-0.028664616957925274,0.2594905867630558,0.42080341005209443,0.1491921061899075,0.591385326803189,0.5729977221813889,0.47150543434258096,-0.06814042665092986,0.11586897834944687,0.06848626493906956,-0.2716033686374301,0.21661726772903311,0.4188983861257002,0.15548376619171173,0.1379574847897192,0.2005193440464718,-0.05328098976319377,0.5519292552480571,0.032774409663224244,0.0705233271716825,-0.10254943885730503,0.04820010139527858,0.16356939565589412,0.2792676599721562,0.6120516797440427,0.5364440451947103,0.6104701691955343,0.04397579530500059,0.0259365354415749,0.1601741609638344,0.6213760523074322,0.292174087307571,0.3648642397857359,0.35393729940804053,0.08076062154091329,0.286625095320246,0.2349272556628742,0.04100128024591636,0.41365658407446404,0.42500345083514596,0.2929818688585414,-0.023174725197419026,-0.08664202225183426,0.009665991913333158,-0.0019980417127325716,0.3843535771451885,0.456752764693681,0.45680936765562297,0.2747872061537058,0.20420544772267216,0.3598520131072492,0.31011914162263543,0.26409046514329704,-0.10101504417327425,0.1399603023218618,0.10316854641107631,0.2806377954576766,0.13041048318238102,0.055610642171939006,0.4893547028828472,-0.02709066891121236,0.06149576864871174,0.3685711893828854,0.4723552104500621,0.47141664243670844,0.3548475873653176,0.12434643918611407,0.4346747347205796,0.057958728406448,0.08981607017713553,0.6181688107079988,0.404946333178879,0.37020134866311605,0.39932657077620426,0.4819556003277433,0.4484646757439509,0.31661950457582577,0.2414722512134416,0.20324547849793012,0.1519705124391747,0.08496094844627855,0.14986628441768743,0.33475884532826666,0.42917036882475834,0.26842961987218444,0.3903588004274249,0.623480739761081,0.26681875818616235,0.05511690695499162,0.37653715761903334,0.4390803494718275,0.10748870263328072,-0.20658594211124526,-0.012206554815425819,-0.11602096771264112,0.25286335197465293,0.4238057949673281,-0.10332994550163876,0.06095082772687087,0.37573289423417555,0.43493643847047403,0.3955471352125278,0.5748772493562369,0.49607501727825076,0.10682821082307123,0.10105935015742509,-0.1584372055689661,0.011313044618291496,0.19473406827571454,0.12099275442351848,0.16109565399452058,-0.009590859915306955,0.41808776150138965,0.26869328255946884,0.4661363930219479,0.07327939266141273,0.21286540203189955
NPBIP(m=1),0.7108620876975635,0.6656702719089553,0.646488027668447,0.12944228686824202,0.3468890316196723,0.0023710452999979536,0.14446707126255187,0.5818913603166731,0.6294148054997064,0.7317396221400054,0.5929798895209955,0.27324648493730413,0.544863643058334,0.712439390116374,0.5677949191843555,0.43046848243653446,0.11911717069258015,0.15785942433110975,0.23329574662022293,0.5532873746035412,0.05998129198369807,0.06789867075039932,0.16157678294904285,0.6531874831237077,0.18424417842208735,0.5720085681048779,0.4891952211163758,0.36311946975653037,0.5478703886772986,0.6355434709909046,0.3375906112825794,0.5422747580597796,0.09321984694766608,0.37918624784381155,0.4013962572132864,0.5146413532205217,0.28054056517614456,0.3482658025803723,0.7059964992821159,0.705181169669981,0.12056311083933494,0.441694838084648,0.3492152195979472,0.48072849529719264,0.6649905843949062,0.655086914011344,0.7145656455958915,0.4170161911207727,0.7526528062821629,0.7571240330811809,0.6000799471040537,0.5605136462627955,0.6217191464096112,0.1737756850894853,0.5179022328865869,0.4833255338167378,0.17989442945458356,0.007564351411098004,0.5609206691137887,0.5319894264957077,0.6512490869408543,0.7085180792728974,0.5844608355873793,0.6267928765603594,0.34211332941770134,0.6227212767213477,0.645740456446061,0.7039019475881967,0.5923299928483418,0.4118806466238899,0.6185507471169756,0.5213505812030882,0.6940298814334378,0.3009836728272276,0.4581163261925264,0.6721720440903971,0.4312740790264438,0.6712149693002241,0.6678199482243206,0.3899849620485936,0.3172139834883442,0.1675278079938591,0.592191049240507,0.47625401848539584,0.19307127845267752,0.5291402588870744,0.5094342137883319,0.18183610507644232,0.5453794497055511,0.5450784276367044,0.5639946801109286,0.492443015853222,0.47867173343037617,0.42803517170595706,0.7558766236824459,0.6596236067534809,-0.009963900807083956,0.413245687609486,0.47599531727974925,0.42853455583406697,0.43741711889711493,0.7075890601122788,0.4766869426712901,0.4447213523644808,0.6374414466400293,0.5801718808328671,0.20975480569885774,0.009210056962634406,0.11597009613388706,0.1700534258919352,0.08039910074324708,0.2169505068748139,0.787928394825287,0.6391295705502094,-0.05786754949893488,0.05570213412556994,0.37727902577290157,-0.14290252480461807,0.21258688261518383,0.509240963557894,0.08710087892902788,-0.2320095715289902,0.02691478562597547,0.07242002894701698,0.6316836064946655,0.5366278224756369,0.5388688185123751,-0.26343875343982637,0.015690972152288048,0.26199137895282104,0.3929589567401108,0.6214389018881592,0.7261136532124903,0.7274062827526043,0.11221688178043474,0.1523325280309527,0.18498704610645378,0.712652583995506,0.39346474028414324,0.478715769080452,0.3560118431654309,-0.047443616948394884,0.379407894359458,0.38921926243566285,0.11104704635090554,0.6113052493339483,0.5881866249923404,0.4284312516669281,0.04625267581862015,-0.05778952943062174,0.055630464577040545,0.12102934348755587,0.5510490606945195,0.5696386211262224,0.6369871825031369,0.3258476954092218,0.2795571353304495,0.725257524436851,-0.04348969527445817,0.4627383720551954,0.05271362478116867,0.015457434848620024,0.2307351729634307,0.4485103694325858,0.08057355044970921,0.14002544345553042,0.6322785064655669,0.01128714590804349,0.1390768205459087,0.5919538217402792,0.7373813739030939,0.7504855197799299,0.5299486921547567,0.01310273026986078,0.5335870888659635,0.22807882821152523,0.24908257250094987,0.6750600930193968,0.6166075230973287,0.47950182779766437,0.5028158183118825,0.505073438521862,0.48842554026111973,0.37189217388988405,0.21863378627248342,0.186048914221916,0.1938748336015296,0.14878159416622938,0.13129734494044126,0.16629449778525665,0.3129278180089555,0.30010715022637213,0.36474043451569793,0.4071751065757869,0.2734176552579426,0.07647783034198058,0.5634534912224289,0.6686398581026409,0.3241123858950499,-0.1909645770357305,0.05366133973055108,-0.019853729267540518,0.10002721750984896,0.032075329727401604,-0.07895356299274557,0.06454083528140243,0.44670611608147015,0.6219222846318786,0.5675062599393947,0.767865544325885,0.7718831569714145,0.22049021837736588,0.46443919128062694,-0.12486773232378917,-0.06337145467095473,-0.26944862610837833,0.02283636997308277,0.23297162202068403,-0.0543971412892681,0.593411649788053,0.42621464284024146,0.42219251594743124,0.08156381682853736,0.32985864974336404
NPBIP,0.721634646552241,0.6682154897756654,0.6481974732565535,0.4782650922660752,0.31495435983321785,0.07003655491810068,0.185841003474205,0.6452017432538415,0.6733922377655922,0.7280346384476668,0.6204731783388142,0.7433761015975079,0.6435285016815169,0.6630033530234468,0.6460852348852967,0.4108096687150945,0.24624833882333852,0.09790072062594718,0.20908371785560362,0.5145177028116767,0.1605343538333635,0.13134106667420936,0.42070534733354725,0.6389164528899914,0.2554991287020053,0.5486107640439185,0.6462984146634665,0.37230156741000275,0.6271181122035572,0.6334374970968535,0.34874252732702343,0.5418593217922594,0.11392093569161357,0.2506070934497102,0.5360533405898709,0.6224157556284501,0.32114234406721526,0.47317448386205746,0.6776581796669551,0.7048181554582226,0.070267307614446,0.42583995499522687,0.3999043232197796,0.28377911170722914,0.708431307843801,0.6495489853563168,0.7100342967837077,0.588982090803292,0.7533699997267487,0.7591424587900752,0.35547083057783313,0.5162846355675472,0.5957526123979424,0.1652227264435448,0.5030496269142076,0.6012751520456381,0.5850599811543724,0.05300062255394559,0.6325424432093236,0.5799683441964925,0.7269711911334336,0.7309598709353309,0.6306897288841338,0.6198831940056602,0.3591180285300356,0.6275057627593137,0.7024289582745125,0.7042772635593786,0.6609445448328239,0.524275886730114,0.5579313460005972,0.5355849578611496,0.6631434677733299,0.32463429105693,0.4852823596412814,0.6611444317046551,0.40481407726830504,0.6751799908250233,0.6799078099289357,0.19173121755341505,-0.04061567327572435,0.10165055445595374,0.6742447958886423,0.4605707795319153,0.26019502721010634,0.5786669982102002,0.5061843322730681,0.1471300499769123,0.5650988792512334,0.6112230301177354,0.6298726564236515,0.5564316024557556,0.5459190933583,0.4512239453197449,0.5456839895270742,0.6474106543858033,0.1339109779578775,0.4003381179822594,0.5967520141996195,0.4993519607731072,0.38629951488928094,0.7012965217968644,0.5661382617635313,0.40789172187327927,0.6828244256287652,0.5399444249981322,0.01153047963864658,0.035488866064835006,0.41437542941765615,0.6056129301921866,0.09904427045336975,0.7410155694111631,0.7905628278392481,0.42202236958846606,-0.060099844100815064,0.16800793161946892,0.2553921228670469,-0.17208854492454612,0.23311226730663864,0.5578284063962542,0.17071604584557376,0.31348768266046556,0.36819856692954167,0.05666011313741511,0.6656736209393945,0.23344585726071534,0.26804569596407724,0.20361635113375143,0.0032348183964724716,0.28976246954581697,0.40110919415027596,0.6571418958896045,0.7311883185272527,0.7535560794536377,0.11446286802882832,0.19475117168141126,0.19185988937911508,0.7647178902714408,0.6322692905081215,0.6921267903194823,0.40436021774585584,0.1352276267693786,0.4314165614000921,0.38609016224403453,0.002804235729100373,0.6303676502293987,0.632762809574377,0.44427324132815316,0.19785468208658857,-0.04754482650749707,0.0945919959083185,0.0012445116651157275,0.5913117219652904,0.6275323235897812,0.6682600891122805,0.3103372877848421,0.30684032989068616,0.7036308203044109,0.37020179795737784,0.2656193006720362,-0.027787228668207594,0.011552770101274276,0.35269273069237894,0.2314711867205707,0.25580932439251164,0.14619132812397606,0.728677603900246,0.019083405224566544,0.2192949470391283,0.614197138211662,0.740733893006605,0.727703614675372,0.469789100584583,0.1462295299126371,0.5353521400437133,0.2415236852566437,0.24206490065493497,0.6989944972208779,0.6158373167759679,0.5986548753157557,0.6306275037891448,0.753541883167747,0.7331600611620381,0.31604871189421824,0.17856044425722278,0.2997022434169696,0.20390444559481546,0.11909691034769132,0.2846877378248556,0.25123766695336325,0.42654346521968745,0.3107631925706702,0.3734090329209676,0.7893499055304298,0.465409882472669,0.10186986096860329,0.5262723986896997,0.5662944526063809,0.30302765878662574,0.12453710382971354,0.017354768685179482,-0.07351500540763001,0.37551483879619973,0.17157706855808005,-0.09533523660575942,0.02193569045822478,0.5513478389866254,0.6295713685700144,0.5676558514174852,0.7493415682967783,0.7538425436023106,0.20607429442071518,0.2896660677583968,0.2066080756734971,0.17473123437082497,0.27583601746511377,0.17444415282907696,0.15733452019213834,0.09186336320747598,0.6009886108889305,0.4265802637508641,0.6116824106578055,0.17464269506386232,0.2686870545332984
"experimental
k-mer upper bound",0.5297855147637192,0.5789940679065995,0.488546731075791,0.5266819928156341,0.3048536099453659,0.5259384400920852,0.24932268463469578,0.432627987293825,0.45296010767352535,0.6347033186979618,0.5226188287023082,0.5792995314121605,0.47776570779759076,0.57948543493929,0.5876676635337706,0.3459560393469158,0.23964064798167817,0.44721248938824076,0.19490899194791977,0.42517455202122983,0.4948301287150121,0.28020809256797186,0.30970978181360903,0.5911056138431927,0.34300175311396636,0.4657363445001148,0.5191355232977966,0.2726493968037565,0.55233860583433,0.5568041590533586,0.357630930416349,0.35442475327703304,0.4797347646042469,0.3754294529865547,0.6036917041566606,0.5330283805630345,0.3036506630774167,0.5760245527126638,0.364136157990549,0.6228341000998463,0.3542089238914051,0.4281742244949013,0.3899065283066327,0.4305559376992342,0.6615494031641678,0.6133501642216308,0.5998263830310215,0.5803393293479671,0.5173720642788295,0.5360311100845866,0.7102633623495059,0.5016310242129108,0.6084887398680972,0.4233022674935718,0.5498402310874874,0.5275396149333109,0.6397066297319501,0.16976686082755638,0.42795189528980104,0.40230934778251926,0.5245924458024283,0.6972349053404225,0.5740352575169518,0.5226369803182151,0.40895385167455467,0.35322224475705405,0.3948811816771978,0.34386108307852536,0.4998004564272836,0.5434433713624883,0.537969791436097,0.412860785127025,0.5291269822262555,0.4834833837763195,0.3523117913208951,0.482864683287376,0.21495237155306063,0.3743028573912655,0.3441881263456593,0.617637391567102,0.5279825666958897,0.562624339478771,0.580052587495002,0.5967993808502463,0.5798057306802558,0.49150437437947814,0.5352899158283736,0.3290066153635112,0.5064968801408596,0.45106681755485206,0.4740787318329975,0.580723343028502,0.6133576612589725,0.3694533383465328,0.7387567979840747,0.6707839053791249,0.5740774116739229,0.42235415675868127,0.41040490802239615,0.5837127594719695,0.5100580286660201,0.517857384972517,0.34391448129929963,0.3478215453463532,0.5654830548620455,0.49951603361088837,0.4675556718138424,0.29634498875244525,0.310487453179092,0.514427464534547,0.17780517078236707,0.6611707143902749,0.6243361781628822,0.5938848008592275,0.5588483145781633,0.11291216664125353,0.42566419175037046,0.5044639919637779,0.24552421721744175,0.55922632784054,0.22497272170817476,0.5383987210963816,0.3975040327155837,0.37665708052945235,0.6252758226581621,0.6104217826876034,0.6011122722055633,0.4960620102303706,0.0647956866046632,0.22756571155566147,0.29043360756902853,0.672290527955087,0.5740140747152138,0.6255144509830621,0.5386203656500659,0.442106074470254,0.20256346868123962,0.6342752261983085,0.38948462349928875,0.4524590549408946,0.5926426945042393,0.5466966495748655,0.47971351859875594,0.41258997572165446,0.6010407198177798,0.48279935661537987,0.5388927475101586,0.3563681175645804,0.5516389052701206,0.22364275521281213,0.4033829740511824,0.315529972050537,0.4321791670675324,0.5358490674223808,0.4845853511868684,0.48286938834403115,0.30179773047415737,0.39514010389348436,0.437427099559071,0.44875393880613285,0.3035107410660905,0.6952211621406501,0.29443749067224234,0.4897061360084084,0.34532399899718763,0.1118499484784673,0.5216484863179666,0.537738417281561,0.3510405354730173,0.45305292490887306,0.4859313883773983,0.5131263443525104,0.5334775094097972,0.5114498475876934,0.45636317561119427,0.4458902978745468,0.37665921325884527,0.632727888098908,0.44514279266443146,0.4057997459438806,0.4324667473477423,0.4995102405430811,0.465512999432897,0.3879723953596784,0.27832256342563655,0.37844230800932854,0.31835522651740306,0.2298689422577853,0.39550050425345673,0.5786822028078571,0.5785847690790772,0.3493438603001189,0.4358569338411558,0.6401009234275012,0.3843314965688544,0.14121838856597635,0.47735844266623007,0.5855802200764757,0.5513771002650165,0.5624490690439437,0.30192117603779106,0.6009283177936575,0.4161198536022852,0.6086450302800943,0.21931271993184934,0.5348576433855099,0.46897383827648337,0.492278964263967,0.5051529591702502,0.5927042870146076,0.5282061286419218,0.4488712692742325,0.40948851703493644,0.5160969412631209,0.5675856446851639,0.5228638969510291,0.5562235623384646,0.6558238511986021,0.5814719597386798,0.4503438390171107,0.27696590399322696,0.5627375890054758,0.5317519641852626,0.48950403727114683
